PC01	PC02	PC03	PC04	PC05	PC06	PC07	PC08	PC09	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	sample	spec	loc	pop
-0.026413047581153284	0.3741342364800469	0.021990455745694942	-6.854299657629425e-17	4.6518334315432663e-17	-7.098434793778282e-17	-1.8690092841146823e-16	5.23309920447879e-16	5.176019929569314e-16	-1.8814194390165622e-16	-2.686352803212309e-16	4.95070022159753e-16	3.0870430234233534e-17	-2.148588956717014e-16	3.1488690200006994e-16	6.394779137537232e-16	-1.891421535703834e-16	5.925384316371013e-16	-2.721178095971277e-16	-9.853729264663616e-16	-2.179583045699088e-16	-5.258855088347586e-16	-2.905637250519239e-16	4.097978143783025e-16	-3.8515806471033603e-16	-4.603239699517978e-16	2.6876685355824256e-16	3.5570125449151477e-16	6.559599005813712e-16	-1.2452870544029247e-15	-6.86432798356708e-16	-0.003956464154508485	18428nigpan	nig	pan	nigpan
-0.02471885559822238	-0.06684380382587586	-0.05927634179395103	0.08150437291124124	-0.1617309138260524	0.006796306673851801	-0.3513778860807891	0.06827217729502018	-0.04602518086331799	-0.1716752586064225	0.09959976428567222	0.36666419318710736	-0.04064054086800603	-0.20116175825009822	-0.16053588596534282	-0.08895316979266547	-0.14177787260057242	-0.19277448750549822	0.23338698073772168	-0.18231147796774608	-0.2502333282424319	0.07052969426455814	0.23750585024797918	-0.2897459280003057	0.07452248299625754	-0.08680816451467627	-0.10304077359225829	-0.27359374187778457	0.031814418911022824	-0.22721442074590475	0.2206049264601988	-0.01247566754825684	18429puepan	pue	pan	puepan
-0.02471885559822238	-0.06684380382587592	-0.059276341793950596	-0.01109268960211545	-0.018772721309564835	0.2631863065744456	0.43061893246793437	0.2214589744438316	0.05301955936601268	0.32309616866607566	0.014602392647345024	0.09242252034758022	-0.07692243129301952	0.08710809240564887	-0.18732695911631883	0.15999737383143797	-0.19732491051242917	0.1639883913698004	-0.042844540001021815	0.0042469096709651984	-0.37271987570778464	-0.08872450700113586	-0.192917936079096	-0.16707624987565178	0.20448563149280327	-0.11704890214737546	0.21788667273515025	0.07639578252830094	-0.00024178112040572963	0.007671922251541911	0.28749540917681465	-0.01247566754825644	18430puepan	pue	pan	puepan
-0.025481268481809243	-0.1105764041568111	0.6282353969691787	-2.031756336095815e-15	-2.3287839305299485e-15	-1.526469016141556e-15	-4.132602386493859e-15	1.892350014616851e-16	1.3812170054208574e-15	3.781696633043212e-15	4.462206714036232e-15	-8.104642467195874e-16	2.6452653745373072e-17	-4.102633261531081e-15	1.1309147795320613e-15	1.0976990726105164e-16	-1.0063007379418448e-16	4.8335868384306554e-15	5.58331927017146e-15	9.593494972983002e-15	-1.582098176657534e-15	-9.496459557428538e-15	-3.0131293912685047e-15	1.740409085815193e-15	6.730627262052738e-17	6.0235548982007256e-15	6.599282244191995e-15	-8.419280334103002e-15	2.4204427846776796e-15	-3.4811354947550035e-15	-3.302554506105443e-15	-0.25754161306719275	18432puepan	pue	pan	puepan
-0.024718855598222365	-0.06684380382587607	-0.05927634179395111	-0.014796396420654369	0.024714321658387137	-0.08392459225761029	0.22631476069888246	0.406547560846402	0.0777676602782737	0.2852172277049024	0.10223682122020906	-0.02564485437819852	0.12301680842533455	-0.10729277569768741	-0.03994952246717441	-0.08491784684392277	0.02806373427750792	0.053814545242160984	-0.06568964005501268	-0.19495976182739935	0.20356494973980474	-0.1211585814737294	0.2787464120197379	-0.05084285361873186	0.16403570002737042	-0.03439830386345323	-0.32813293718750214	-0.3034794582628283	0.16448883506663342	0.1613637753016306	-0.37923453330381957	-0.012475667548256263	18434puepan	pue	pan	puepan
-0.024718855598222372	-0.0668438038258764	-0.05927634179395086	-0.1604109437522115	-0.1112764054555103	-0.14663554645995638	-0.0647879788093314	0.09095945437723775	0.19304620581331805	-0.060960025812317846	-0.15558330904206114	-0.10026093657708104	0.03063472356469097	0.08048051332792705	-0.1373738918081226	-0.08359253631709568	-0.05364614897235373	0.252490473739593	0.35061676112573537	0.1047805998889618	0.17379708940869534	-0.12059188720547734	-0.187355286766228	-0.0467821983859831	0.21856571092621035	0.020403351609057725	-0.43925152431857123	0.346191392425327	-0.2414291965248283	-0.28421435111851734	0.04786872452086078	-0.012475667548256485	18435unipan	uni	pan	unipan
-0.024718855598222376	-0.06684380382587514	-0.059276341793950735	0.29559745101825574	0.38281951811878484	-0.06781646985168423	-0.08246248809016345	0.31884448563768936	0.03616574708690744	-0.039123118974040944	0.010019974528846768	-0.19146276358254902	-0.013554760456913804	-0.09270459195941018	0.017781091988564948	-0.11835305257407495	0.10313370284546215	-0.2034217142828921	0.08960407611401401	-0.002852524759317611	-0.1720152749276353	-0.33468682731606525	0.07800658932620512	-0.18435764673582097	-0.3058950394666594	0.058254275643723694	0.15590626051866552	0.2206584676126524	-0.36660498319471335	0.07673778452777508	-0.06203040629320214	-0.012475667548256129	18439unipan	uni	pan	unipan
-0.024718855598222376	-0.06684380382587525	-0.05927634179395036	0.06843594318603008	0.2608147562141098	0.03093576052517616	0.18247955062710725	-0.3006068099870435	0.3103217313646071	-0.11791989530001061	-0.26555903477852	0.18433494648160484	-0.16223023325784347	0.272726453770712	-0.038741891124889856	-0.12671500842545877	-0.15864505636814388	-0.09105671949394416	0.023707124821936952	0.02591128809744686	0.058557196379580984	-0.2641618686007468	0.35324758028632386	0.12778288557038578	0.08139157095469805	0.34384341215017544	0.010313643346139665	-0.03508384454228823	0.21682622091847856	0.004430967798332945	0.11396660438973417	-0.012475667548256332	18440unipan	uni	pan	unipan
-0.024718855598222372	-0.06684380382587551	-0.05927634179395058	-0.03613499803327722	0.2863195571364652	-0.2974959947952369	-0.15120404159477951	-0.06836923452860498	-0.039333091915565666	0.351038849572719	0.07290200763279799	0.0843984607750444	0.1281279897513458	-0.03084769345921309	-0.255888506355675	-0.1623363395491234	-0.002313973380393103	-0.2231117102441089	-0.019153929536881106	-0.08981681896721674	-0.0692616536690496	0.37611295736144695	-0.23798598317820652	0.09856371842904085	0.21081893044752023	0.3000124660535126	0.17628716424259222	0.17645342597810587	0.11694768393935699	-0.11528284657142154	-0.15911575368929687	-0.012475667548256617	18441unipan	uni	pan	unipan
-0.024718855598222372	-0.06684380382587549	-0.059276341793950624	-0.06365741217970398	0.034100537497676234	0.32900078002449296	0.15334067280989666	-0.28578490313332977	-0.3867884567589947	-0.12775460622152485	0.27924273111869585	0.04528930975058478	0.3876047690307755	0.08677565413812162	-0.24580267619562307	-0.11246916323781313	-0.013333809053858272	0.22952735323709475	0.035178451335820905	-0.24818015140431085	0.07489180726554115	-0.14971131884016808	0.0513755103558644	0.056594775435814676	-0.16164360773084768	0.13834468490230287	0.037252953149783295	0.002284683738391688	-0.18854776698914197	-0.1448814691516472	-0.1316295467093273	-0.012475667548256504	18442unipan	uni	pan	unipan
